dong_code,dong_name
11110515,청운효자동
11110530,사직동
11110540,삼청동
11110550,부암동
11110560,평창동
11110570,무악동
11110580,교남동
11110600,가회동
11110615,종로1·2·3·4가동
11110630,종로5·6가동
11110640,이화동
11110650,혜화동
11110670,창신1동
11110680,창신2동
11110690,창신3동
11110700,숭인1동
11110710,숭인2동
11140520,소공동
11140540,회현동
11140550,명동
11140570,필동
11140580,장충동
11140590,광희동
11140605,을지로동
11140615,신당동
11140625,다산동
11140635,약수동
11140645,청구동
11140650,신당5동
11140665,동화동
11140670,황학동
11140680,중림동
11170510,후암동
11170520,용산2가동
11170530,남영동
11170555,청파동
11170560,원효로1동
11170570,원효로2동
11170580,효창동
11170590,용문동
11170625,한강로동
11170630,이촌1동
11170640,이촌2동
11170650,이태원1동
11170660,이태원2동
11170685,한남동
11170690,서빙고동
11170700,보광동
11200520,왕십리2동
11200535,왕십리도선동
11200540,마장동
11200550,사근동
11200560,행당1동
11200570,행당2동
11200580,응봉동
11200590,금호1가동
11200615,금호2·3가동
11200620,금호4가동
11200645,옥수동
11200650,성수1가1동
11200660,성수1가2동
11200670,성수2가1동
11200690,성수2가3동
11200720,송정동
11200790,용답동
11215710,화양동
11215730,군자동
11215740,중곡1동
11215750,중곡2동
11215760,중곡3동
11215770,중곡4동
11215780,능동
11215810,광장동
11215820,자양1동
11215830,자양2동
11215840,자양3동
11215847,자양4동
11215850,구의1동
11215860,구의2동
11215870,구의3동
11230536,용신동
11230545,제기동
11230560,전농1동
11230570,전농2동
11230600,답십리1동
11230610,답십리2동
11230650,장안1동
11230660,장안2동
11230705,청량리동
11230710,회기동
11230720,휘경1동
11230730,휘경2동
11230740,이문1동
11230750,이문2동
11260520,면목2동
11260540,면목4동
11260550,면목5동
11260565,면목본동
11260570,면목7동
11260575,면목3·8동
11260580,상봉1동
11260590,상봉2동
11260600,중화1동
11260610,중화2동
11260620,묵1동
11260630,묵2동
11260655,망우본동
11260660,망우3동
11260680,신내1동
11260690,신내2동
11290525,성북동
11290555,삼선동
11290575,동선동
11290580,돈암1동
11290590,돈암2동
11290600,안암동
11290610,보문동
11290620,정릉1동
11290630,정릉2동
11290640,정릉3동
11290650,정릉4동
11290660,길음1동
11290685,길음2동
11290705,종암동
11290715,월곡1동
11290725,월곡2동
11290760,장위1동
11290770,장위2동
11290780,장위3동
11290810,석관동
11305534,삼양동
11305535,미아동
11305545,송중동
11305555,송천동
11305575,삼각산동
11305595,번1동
11305603,번2동
11305608,번3동
11305615,수유1동
11305625,수유2동
11305635,수유3동
11305645,우이동
11305660,인수동
11320511,창1동
11320512,창2동
11320513,창3동
11320514,창4동
11320515,창5동
11320521,도봉1동
11320522,도봉2동
11320660,쌍문1동
11320670,쌍문2동
11320680,쌍문3동
11320681,쌍문4동
11320690,방학1동
11320700,방학2동
11320710,방학3동
11350560,월계1동
11350570,월계2동
11350580,월계3동
11350595,공릉1동
11350600,공릉2동
11350611,하계1동
11350612,하계2동
11350619,중계본동
11350621,중계1동
11350624,중계4동
11350625,중계2·3동
11350630,상계1동
11350640,상계2동
11350665,상계3·4동
11350670,상계5동
11350695,상계6·7동
11350700,상계8동
11350710,상계9동
11350720,상계10동
11380510,녹번동
11380520,불광1동
11380530,불광2동
11380551,갈현1동
11380552,갈현2동
11380560,구산동
11380570,대조동
11380580,응암1동
11380590,응암2동
11380600,응암3동
11380625,역촌동
11380631,신사1동
11380632,신사2동
11380640,증산동
11380650,수색동
11380690,진관동
11410520,천연동
11410555,북아현동
11410565,충현동
11410585,신촌동
11410615,연희동
11410620,홍제1동
11410640,홍제3동
11410655,홍제2동
11410660,홍은1동
11410685,홍은2동
11410690,남가좌1동
11410700,남가좌2동
11410710,북가좌1동
11410720,북가좌2동
11440555,아현동
11440565,공덕동
11440585,도화동
11440590,용강동
11440600,대흥동
11440610,염리동
11440630,신수동
11440655,서강동
11440660,서교동
11440680,합정동
11440690,망원1동
11440700,망원2동
11440710,연남동
11440720,성산1동
11440730,성산2동
11440740,상암동
11470510,목1동
11470520,목2동
11470530,목3동
11470540,목4동
11470550,목5동
11470560,신월1동
11470570,신월2동
11470580,신월3동
11470590,신월4동
11470600,신월5동
11470610,신월6동
11470611,신월7동
11470620,신정1동
11470630,신정2동
11470640,신정3동
11470650,신정4동
11470670,신정6동
11470680,신정7동
11500510,염창동
11500520,등촌1동
11500530,등촌2동
11500535,등촌3동
11500540,화곡1동
11500550,화곡2동
11500560,화곡3동
11500570,화곡4동
11500590,화곡본동
11500591,화곡6동
11500593,화곡8동
11500603,가양1동
11500604,가양2동
11500605,가양3동
11500611,발산1동
11500615,우장산동
11500620,공항동
11500630,방화1동
11500640,방화2동
11500641,방화3동
11530510,신도림동
11530520,구로1동
11530530,구로2동
11530540,구로3동
11530550,구로4동
11530560,구로5동
11530595,가리봉동
11530720,고척1동
11530730,고척2동
11530740,개봉1동
11530750,개봉2동
11530760,개봉3동
11530770,오류1동
11530780,오류2동
11530790,수궁동
11530800,항동
11545510,가산동
11545610,독산1동
11545620,독산2동
11545630,독산3동
11545640,독산4동
11545670,시흥1동
11545680,시흥2동
11545690,시흥3동
11545700,시흥4동
11545710,시흥5동
11560515,영등포본동
11560535,영등포동
11560540,여의동
11560550,당산1동
11560560,당산2동
11560585,도림동
11560605,문래동
11560610,양평1동
11560620,양평2동
11560630,신길1동
11560650,신길3동
11560660,신길4동
11560670,신길5동
11560680,신길6동
11560690,신길7동
11560700,대림1동
11560710,대림2동
11560720,대림3동
11590510,노량진1동
11590520,노량진2동
11590530,상도1동
11590540,상도2동
11590550,상도3동
11590560,상도4동
11590605,흑석동
11590620,사당1동
11590630,사당2동
11590640,사당3동
11590650,사당4동
11590651,사당5동
11590660,대방동
11590670,신대방1동
11590680,신대방2동
11620525,보라매동
11620545,청림동
11620565,성현동
11620575,행운동
11620585,낙성대동
11620595,청룡동
11620605,은천동
11620615,중앙동
11620625,인헌동
11620630,남현동
11620645,서원동
11620655,신원동
11620665,서림동
11620685,신사동
11620695,신림동
11620715,난향동
11620725,조원동
11620735,대학동
11620745,삼성동
11620765,미성동
